District,Candidate,Party,Votes
Afzalpur,MALIKAYYA VENKAYYA GUTTEDAR,Indian National Congress,38093
Afzalpur,M.Y.PATIL,Karnataka Jantha Paksha,32855
Afzalpur,VITTHAL HEROOR,Janata Dal  (Secular),22847
Afzalpur,GOVIND VISHWANATH BHAT,Samajwadi Party,14648
Afzalpur,DILIP R. PATIL,Bharatiya Janata Party,10347
Afzalpur,MALLAPPA M. SOLAPUR,Independent,1829
Afzalpur,SHRISHAIL SIDRAMAPPA KALKERI,Independent,1364
Afzalpur,SOMSHEKHAR J. DESHMUKH,Independent,1171
Afzalpur,HUCHAPPA VATHAR GOUR,Bahujan Samaj Party,1039
Afzalpur,VIKRAM BHAT,Independent,917
Afzalpur,SIDRAMAPPA,Independent,825
Afzalpur,SHARANABASAPPA S. KALSHETTY,Independent,780
Afzalpur,M.S.PATIL,Independent,682
Afzalpur,CHANDRASHEKAR N. KARAJAGI,Independent,631
Afzalpur,BASHA PATEL HASARGUNDAGI,Badavara Shramikara Raitara Congress Party,583
Aland,BHOJARAJ   RAMCHANDRA,Karnataka Jantha Paksha,67085
Aland,SUBHASH RUKMAIAH,Janata Dal  (Secular),49971
Aland,SIDDANNA,Indian National Congress,3912
Aland,SHANKAR RAO,Independent,2239
Aland,PAVADSHETY BASAVARAJ,Bharatiya Janata Party,2144
Aland,BABURAO,Independent,1865
Aland,DATTAPPA,Rashtriya Samaj Paksha,1336
Aland,UDAYAKUMAR,Badavara Shramikara Raitara Congress Party,835
Aland,KHANDE RAO,Samajwadi Party,812
Aland,SIDDRAMAPPA,Independent,734
Aland,ZAHEER,Independent,516
Aland,RAMCHANDRA,Bahujan Samaj Party,505
Aland,SHIVANAND,Nationalist Congress Party,431
Anekal,SHIVANNA B.,Indian National Congress,105464
Anekal,A. NARAYANASWAMY,Bharatiya Janata Party,65282
Anekal,ANEKAL KESHAVA,Janata Dal  (Secular),7307
Anekal,R. KRISHNAMURTHY,Karnataka Jantha Paksha,2369
Anekal,D. MAHADESH,Communist Party of India  (Marxist),1923
Anekal,SRINIVASA P.,Bahujan Samaj Party,1365
Anekal,A. NARAYANASWAMY,Independent,1000
Anekal,MANJUNATHA,Badavara Shramikara Raitara Congress Party,885
Anekal,SUKUNDHA V.,Karnataka Rajya Ryota Sangha,436
Anekal,GOPINATHA G.M.,Independent,430
Arabhavi,BALACHANDRA LAXMANRAO JARKIHOLI,Bharatiya Janata Party,99283
Arabhavi,UTAGI RAMAPPA KAREPPA,Indian National Congress,24062
Arabhavi,LATUR SURESH MAHALINGAPPA,Karnataka Jantha Paksha,11445
Arabhavi,GURAPPA KALLAPPA HITTANAGI,Janata Dal  (Secular),3081
Arabhavi,GURUPUTRA KEMPANNA KULLUR,Independent,2012
Arabhavi,GOUDAR SHIVANAGOUDA NINGAPPA,Sarvodaya Karnataka Paksha,1527
Arabhavi,MAHANTAPPA SABANNA GOUDAR,Independent,1388
Arabhavi,BASAVANTH IRAPPA VADER,Bahujan Samaj Party,910
Arabhavi,BASAVARAJ BASAVANTAPPA B PATIL,Badavara Shramikara Raitara Congress Party,697
Arabhavi,HANAJI ASHOK PANDAPPA,Sarva Janata Party,694
Arkalgud,MANJU A,Indian National Congress,61369
Arkalgud,A.T RAMASWAMY,Janata Dal  (Secular),52575
Arkalgud,H. YOGARAMESHA,Independent,32477
Arkalgud,S. PUTTASWAMY,Karnataka Jantha Paksha,12259
Arkalgud,K.K YOGESHAPPA,Independent,2789
Arkalgud,B.C RAJESH,Bahujan Samaj Party,2774
Arkalgud,M.K NATARAJ,Bharatiya Janata Party,1775
Arkalgud,H.S YOGESHA,Independent,1021
Arkalgud,SHIVAKUMAR G A,Samajwadi Janata Party(Karnataka),842
Arkalgud,MANJUNATHA,Bharatiya Dr. B.R.Ambedkar Janta Party,819
Arkalgud,K.B YOGEGOWDA,Independent,713
Arkalgud,RAJASHEKHARA,Janata Dal  (United),444
Arkalgud,G.S MURALIDHARA,Badavara Shramikara Raitara Congress Party,405
Arsikere,K.M.SHIVALINGE GOWDA,Janata Dal  (Secular),76579
Arsikere,B.SHIVARAMU,Indian National Congress,46948
Arsikere,DR: LOKESH D.G,Karnataka Jantha Paksha,26312
Arsikere,D.B.GANGADHAR DUMMENAHALLI,Bharatiya Janata Party,2464
Arsikere,GANGADHARAPPA,Independent,1557
Arsikere,KUMARA BHOVI,Bharatiya Dr. B.R.Ambedkar Janta Party,1335
Arsikere,JAYANNA,Badavara Shramikara Raitara Congress Party,1244
Arsikere,N.P.RAJENDRAPRASAD,Hindusthan Nirman Dal,745
Arsikere,B.K.SOMASHEKAR,Janata Dal  (United),605
Arsikere,T.M.CHANDRASHEKARAIAH (DEVARAJ THIRUPATHIHALLI),Bahujan Samaj Party,561
Arsikere,AUTO RAVI (BONDA),Independent,519
Athani,LAXMAN SANGAPPA SAVADI,Bharatiya Janata Party,74299
Athani,MAHESH IRANAGOUDA KUMATHALLI,Indian National Congress,50528
Athani,SADASHIV KEDARI BUTALI,Janata Dal  (Secular),15204
Athani,SANGANAGOUD GURUPADAGOUD PATIL,Karnataka Jantha Paksha,1580
Athani,ANNAPPA SOMANNA AIGALI,Bahujan Samaj Party,1558
Athani,RATNAVVA VITTAL TATRI URF PUJARI,Independent,841
Athani,SHIKHANDHAR HAJISAB MULLA,Badavara Shramikara Raitara Congress Party,750
Athani,VASANT YAMANAPPA DALAWAI,Lok Satta Party,581
Athani,BASAVARAJ IRAPPA AWATI,Independent,507
Athani,GURUNATH BALU BHORI,Nationalist Congress Party,442
Aurad,PRABHU B. CHAVAN,Bharatiya Janata Party,61826
Aurad,DHANAJI BHEEMA JADHAV,Karnataka Jantha Paksha,38635
Aurad,GAIKAWAD VIJAYKUMAR,Indian National Congress,15456
Aurad,G.M. YATNOOR,Janata Dal  (Secular),4892
Aurad,ROOPCHAND RATHOD,Nationalist Congress Party,1225
Aurad,DEVIDAS,Bahujan Samaj Party,1151
Aurad,SULOCHANA,Independent,1098
Aurad,RAJU KADYAL,Karnataka Makkala Paksha,1065
Aurad,KASTURBAI,Independent,904
Aurad,SHAMANNA BAVGI,Independent,814
Aurad,JAIRAJ CHATURE,Independent,686
Aurad,RATANSING,Independent,461
Aurad,SHIVKUMAR BELDAL,Badavara Shramikara Raitara Congress Party,451
Aurad,DR. SHANKARRAO SONALWADI,Independent,437
B.t.m layout,RAMALINGAREDDY,Indian National Congress,69712
B.t.m layout,N. SUDHAKAR,Bharatiya Janata Party,20664
B.t.m layout,J. RAMESH REDDY,Janata Dal  (Secular),8346
B.t.m layout,RAVI KRISHNA REDDY,Lok Satta Party,6596
B.t.m layout,SRINIVASA,Karnataka Jantha Paksha,1902
B.t.m layout,R. RAVINDRAKUMAR,Independent,1324
B.t.m layout,HARIRAM .A,Bahujan Samaj Party,1311
B.t.m layout,MOHAMMED SADIQ,Independent,322
B.t.m layout,THYAGARAJ,Bharatiya Dr. B.R.Ambedkar Janta Party,309
Babaleshwar,M.B.PATIL,Indian National Congress,62061
Babaleshwar,PATIL  VIJUGOUDA,Janata Dal  (Secular),57706
Babaleshwar,M.S.RUDRAGOUDARA,Bharatiya Janata Party,4067
Babaleshwar,BASAPPA. S. HONAWAD,Karnataka Jantha Paksha,2646
Babaleshwar,SHASAPPA BHIMARAY HANCHANAL,Independent,2215
Babaleshwar,KAMANNA GANGANALLI,Bahujan Samaj Party,1042
Babaleshwar,SADASHIVAPPA YAMANAPPA HADIMANI,Independent,924
Babaleshwar,SANGAPPA GURAPPA INDI,Independent,751
Babaleshwar,USMAN BASHA MOULAKASAHEB KURI,Independent,533
Babaleshwar,MEHABOOB. H. MALABHODI,Independent,532
Babaleshwar,ARUNAKUMAR. H. JAINAPUR,Independent,432
Babaleshwar,SHAKIL  MANIYAR,Badavara Shramikara Raitara Congress Party,342
Babaleshwar,GOUSAPEERA ABBASALI JAMADAR,Independent,308
Babaleshwar,SATTIGER BASAYYA MALLAYYA,Janata Dal  (United),297
Babaleshwar,AKKI HUGGI PADMANNA HUCHAPPA,Independent,290
Babaleshwar,GUDADAPPA SHIVAPPA JALAMATTI,Independent,202
Badami,CHIMMANAKATTI BALAPPA BHIMAPPA,Indian National Congress,57446
Badami,MAHANTESH GURUPADAPPA MAMADAPUR,Janata Dal  (Secular),42333
Badami,MAHAGUNDAPPA KALLAPPA PATTANASHETTI,Bharatiya Janata Party,30310
Badami,BASAYYA PRABAYYA HALLUR,Karnataka Jantha Paksha,3095
Badami,M S PATIL,Badavara Shramikara Raitara Congress Party,1807
Badami,KANTICHANDRA JYOTHI,Bahujan Samaj Party,1616
Badami,DAYANAND SRIDHARRAO KULKARNI,Independent,1456
Badami,MARUTI JAMINDAR,Janata Dal  (United),1008
Bagalkot,METI HULLAPPA YAMANAPPA,Indian National Congress,68216
Bagalkot,CHARANTIMATH VEERANNA CHANDRASHEKHARAYYA,Bharatiya Janata Party,65316
Bagalkot,PARASHURAM MANASING RATHOD,Independent,1941
Bagalkot,BASAVARAJ SANGANAGOUDA PATIL (JAKKANAGOUDRA),Janata Dal  (Secular),1882
Bagalkot,PARASHURAM LAXMAN NEELANAYAK,Welfare Party Of India,1559
Bagalkot,BABUSHA DASTGEERSAB ROLLI (R.D.BABU  JR.UPENDRA),Bahujan Samaj Party,1052
Bagepalli,S.N SUBBAREDDY(CHINNAKAYALAPALLI),Independent,66227
Bagepalli,SRIRAMAREDDY G.V,Communist Party of India  (Marxist),35472
Bagepalli,HARINATHAREDDY,Janata Dal  (Secular),16779
Bagepalli,N SAMPANGI,Indian National Congress,15491
Bagepalli,R.N. RAGHUNATH REDDY,Independent,2478
Bagepalli,VENKATARAVANA REDDY,Independent,1666
Bagepalli,S.N SUBBAREDDY,Independent,1510
Bagepalli,K.A SRINATH,Independent,1184
Bagepalli,M NARAYANASWAMY,Bharatiya Janata Party,1084
Bagepalli,SUBBIREDDY,Independent,1074
Bagepalli,R. MUNIRAJU,Karnataka Jantha Paksha,965
Bagepalli,H.V. SHIVASHANKAR,Badavara Shramikara Raitara Congress Party,793
Bagepalli,ASHWATHREDDY,Independent,646
Bagepalli,HARI. R,Independent,598
Bagepalli,SUBBAREDDY,Independent,565
Bagepalli,KESHAVAREDDY M.V,Independent,558
Bagepalli,C. VENKATESH,Independent,446
Bagepalli,V NARASIMHAMURTHY,Janata Dal  (United),441
Bagepalli,P.A SATYANARAYANAREDDY,Independent,439
Bagepalli,SUBHRAMANI,Independent,341
Bagepalli,BAVA FAKRUDDIN,Independent,339
Bagepalli,SUBBIREDDY,Independent,309
Bagepalli,KRISHNAPPA NAYAKA,Bahujan Samaj Party,256
Bagepalli,M. JAVEED,Independent,255
Bagepalli,RAMANJANEYA,Independent,223
Bagepalli,VENKATASHIVAPPA,Independent,199
Bagepalli,BABU,Independent,160
Bailhongal,VISHWANATH I PATIL,Karnataka Jantha Paksha,40709
Bailhongal,JAGADISH @ VIRUPAXI CHANNAPPA METGUD,Bharatiya Janata Party,37088
Bailhongal,BASAVARAJ SHIVANAND KOUJALGI,Indian National Congress,36042
Bailhongal,SHANKAR B MADALAGI,Janata Dal  (Secular),9475
Bailhongal,MADHAV VENKATESH KULKARNI,Independent,1746
Bailhongal,VITTAL SIDDAPPA HARIJAN,Bahujan Samaj Party,975
Bailhongal,DAYANAND GURUPUTRAYYA CHIKKAMATH,Samajwadi Party,762
Bangalore South,M. KRISHNAPPA,Bharatiya Janata Party,102207
Bangalore South,R. PRABHAKARA REDDY,Janata Dal  (Secular),72045
Bangalore South,DR.TEJASWINI GOWDA,Indian National Congress,63849
Bangalore South,JAGADISH REDDY,Karnataka Jantha Paksha,3936
Bangalore South,MURALI MOHAN,Independent,1975
Bangalore South,VASANTH,Bahujan Samaj Party,1363
Bangalore South,G.A. GREGORY,Independent,1347
Bangalore South,E KRISHNAPPA,Independent,1040
Bangalore South,A. CHOWARAPPA,Independent,691
Bangalore South,T.N KAMAL,Independent,639
Bangalore South,N.S. RAVICHANDRA,Badavara Shramikara Raitara Congress Party,509
Bangalore South,K GURURAJ,Independent,407
Bangalore South,ASHISH KAPUR,Independent,394
Bangalore South,SUNDARAPPA,Janata Dal  (United),335
Bangarapet,S.N.NARAYANASWAMY.K.M,Indian National Congress,71570
Bangarapet,EM NARAYANASWAMY,Bharatiya Janata Party,43193
Bangarapet,RAMACHANDRA,Janata Dal  (Secular),22863
Bangarapet,SHESHU.V,Karnataka Jantha Paksha,1242
Bangarapet,SRINIVAS,Independent,850
Bangarapet,MANJUNATHA J.K,Lok Jan Shakti Party,470
Bangarapet,SRINATH.R.N,Independent,354
Bangarapet,VENKATESH.M. KALAVANCHI,Badavara Shramikara Raitara Congress Party,280
Bangarapet,P.M RAMESHA,Independent,236
Bangarapet,K.V SAMPATH KUMAR,Samajwadi Janata Party(Karnataka),179
Bangarapet,NAGENDRA.C,Independent,175
Bangarapet,K.V SUDARSHAN,Samajwadi Party,173
Bangarapet,MANJUNATHA.V,Independent,146
Bangarapet,Y.R.PRATHIBHA,Independent,127
Bantval,B.RAMANATHA RAI,Indian National Congress,81665
Bantval,RAJESH NAIK ULIPADY,Bharatiya Janata Party,63815
Bantval,ADVOCATE ABDUL MAJID,SOCIAL DEMOCRATIC PARTY OF INDIA,6113
Bantval,KRISHNAPPA POOJARY KALLADKA,Janata Dal  (Secular),1927
Bantval,LOLAKSHA,Republican Party of India (A),1511
Bantval,IBRAHIM KAILARA,Karnataka Jantha Paksha,1157
Basavakalyan,MALLIKARJUN SIDRAMAPPA KHUBA,Janata Dal  (Secular),37494
Basavakalyan,B. NARAYANRAO,Indian National Congress,21601
Basavakalyan,M.G.MULEY,Badavara Shramikara Raitara Congress Party,18214
Basavakalyan,ATTUR MALLAMMA PATIL,Karnataka Jantha Paksha,17965
Basavakalyan,SANJAY D PATWARI,Bharatiya Janata Party,17431
Basavakalyan,SARDAR KHAN,Welfare Party Of India,2742
Basavakalyan,JAGANATH PATIL,Independent,2595
Basavakalyan,MALLAMMA BIRADAR,Independent,1701
Basavakalyan,ABDUL RAZAQ,Bahujan Samaj Party,1489
Basavakalyan,SHAHAJIRAO,Independent,896
Basavakalyan,SYED ANWAR (PEERAN),Independent,834
Basavakalyan,CHITAGUPPA MAHADEVI SHAMARAO,Independent,798
Basavakalyan,A.MILIND GURUJI,Republican Party of India,673
Basavakalyan,MALLIKARJUN,National People's Party,553
Basavakalyan,MULEY DNYANESHWAR,Independent,514
Basavakalyan,ARUNKUMAR,Independent,355
Basavakalyan,SYED GOUSE,Hindustan Janta Party,317
Basavana Bagevadi,SHIVANAND S PATIL,Indian National Congress,56329
Basavana Bagevadi,BELLUBBI SANGAPPA KALLAPPA,Bharatiya Janata Party,36653
Basavana Bagevadi,SOMANAGOUDA (APPUGOUDA) B. PATIL,Janata Dal  (Secular),18136
Basavana Bagevadi,DESAI SANGRAJ ANNASAHEB,Karnataka Jantha Paksha,9834
Basavana Bagevadi,SIDDAPPA B.GANJI,Independent,1259
Basavana Bagevadi,KATTI MARIYAPPA CHANDRAMAPPA,Bahujan Samaj Party,1079
Basavana Bagevadi,GOPAL SHIVAPPA DHANASHETTY,Badavara Shramikara Raitara Congress Party,1035
Basavana Bagevadi,NAZIR DUNDASI,Welfare Party Of India,574
Basavana Bagevadi,LAXIMBAI SHIVAPPA G PATIL,Independent,540
Basavana Bagevadi,VEERANAGOUDA MALLAPPA PARANNAVAR,Independent,513
Basavana Bagevadi,GURUSIDDAYYA M SARUR,Independent,337
Basavana Bagevadi,ASHOK LAMANI,Independent,277
Basavana Bagevadi,IRANNA CHANABASAPPA NIDAGUNDI,Independent,253
Basavanagudi,RAVI SUBRAMANYA.L.A.,Bharatiya Janata Party,43883
Basavanagudi,K.BAGEGOWDA,Janata Dal  (Secular),24163
Basavanagudi,B.K.CHANDRASHEKAR,Indian National Congress,21588
Basavanagudi,SHANTHALA DHAMLE,Lok Satta Party,9071
Basavanagudi,RAVIKIRAN,Karnataka Jantha Paksha,1741
Basavanagudi,SHIVAKUMAR.V.,Independent,528
Basavanagudi,L.RAMESH,Bahujan Samaj Party,481
Basavanagudi,K.N.CHANDRASHEKAR,Independent,333
Basavanagudi,V.NANJUNDA,Lok Jan Shakti Party,286
Basavanagudi,K.N.VENKATESH,Independent,281
Basavanagudi,N.RAVI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),253
Basavanagudi,YOGESH,Independent,243
Basavanagudi,DR.NAGESH.M.N.,Independent,200
Basavanagudi,T.K.PREMKUMAR,Pyramid Party of India,168
Basavanagudi,GOPAL.K.,Independent,158
Basavanagudi,DR.KODUR VENKATESH,Independent,110
Basavanagudi,N.HEMANTH KUMAR GOWDA,Janata Dal  (United),88
Basavanagudi,ARUNKUMAR.P.,Independent,79
Belgaum Dakshin,SAMBHAJI LAKSHMAN PATIL,Independent,54426
Belgaum Dakshin,ABHAY PATIL,Bharatiya Janata Party,48116
Belgaum Dakshin,ANIL M. POTDAR,Indian National Congress,20536
Belgaum Dakshin,S. M. DODAMANI,Karnataka Jantha Paksha,5597
Belgaum Dakshin,BASAVARAJ SHRISHAILAPPA JAVALI,Janata Dal  (Secular),1324
Belgaum Dakshin,NETHAJI (BALU) APPAJI MANAGUTKAR,Independent,771
Belgaum Dakshin,MALTI A. SAKSENA,Bahujan Samaj Party,373
Belgaum Dakshin,MOHSINKHAN NASIRKHAN PATHAN,Badavara Shramikara Raitara Congress Party,367
Belgaum Dakshin,HANMANT KRISHNA MAJUKAR,Shivsena,256
Belgaum Dakshin,ASHOK VITHAL SANADI,Janata Dal  (United),180
Belgaum Rural,SANJAY B PATIL,Bharatiya Janata Party,38322
Belgaum Rural,KINEKAR MANOHAR KALLAPPA,Independent,36987
Belgaum Rural,LAKSHMI RAVINDRA HEBBALKAR,Indian National Congress,35811
Belgaum Rural,ANANDSWAMY GADDADEVARMATH,Independent,17670
Belgaum Rural,SHIVAJI KEDARI SUNTAKAR,Independent,15759
Belgaum Rural,SUNANDA L PATIL,Karnataka Jantha Paksha,2290
Belgaum Rural,ASHOK B GOVEKAR,Janata Dal  (Secular),1837
Belgaum Rural,BALASAHEB BHIMAPPA SATTIGERI,Independent,1023
Belgaum Rural,MALPE NARASINH VANKATESH BHAT,Independent,697
Belgaum Rural,BALACHANDRA RAMACHANDRA CHAVAN,Badavara Shramikara Raitara Congress Party,637
Belgaum Rural,JAYASHREE D KHANAPUR,Independent,597
Belgaum Rural,SIDAGOUD KALAGOUD MODAGI,Janata Dal  (United),429
Belgaum Uttar,FAIROZ NURUDDIN SAITH,Indian National Congress,45125
Belgaum Uttar,RENU SUHAS KILLEKAR,Independent,26915
Belgaum Uttar,KIRAN MARUTI JADHAV,Bharatiya Janata Party,17456
Belgaum Uttar,SHIVAPUTHRAPPA CHANBASAPPA MALAGI,Karnataka Jantha Paksha,15271
Belgaum Uttar,KUDACHI RAMESH LAXMAN,Badavara Shramikara Raitara Congress Party,3980
Belgaum Uttar,LATIFKHAN PATHAN,Independent,1367
Belgaum Uttar,SHRADHA DHARMRAJ,Janata Dal  (Secular),1277
Belgaum Uttar,NAGESH VILAS SAKHARE,Lok Satta Party,944
Belgaum Uttar,MAHENDRA D. DESHPANDE,Bahujan Samaj Party,851
Belgaum Uttar,RAVI B. MALAGI,Independent,690
Belgaum Uttar,CHANDRASHEKHAR GANGAPPA ANGADI,Janata Dal  (United),624
Belgaum Uttar,LODHI AIJAZ AHAMED MEHBOOB SAB,Indian Union Muslim League,213
Belgaum Uttar,AKHILA AYUBKHAN PATHAN,Independent,189
Belgaum Uttar,MOHAMMED RAFIQ B. DESAI,Independent,180
Belgaum Uttar,MAGDUM GOUSMOHIUDDIN ISMAIL MAGDUM,Hindustan Janta Party,101
Bellary,B. SREERAMULU,Badavara Shramikara Raitara Congress Party,74854
Bellary,ASUNDI VANNURAPPA,Indian National Congress,41560
Bellary,MEENALLI TAYANNA,Janata Dal  (Secular),3958
Bellary,HULUGAPPA PONNURU,Bharatiya Janata Party,2478
Bellary,PANDU BYALACHINTE,Karnataka Jantha Paksha,2347
Bellary,B. SREENIVASULU,Independent,1097
Bellary,ALIVELU,Independent,815
Bellary,A. DEVADAS,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),726
Bellary,V MAREPPA,Bahujan Samaj Party,579
Bellary,NINGAPPA TOLAMAMIDI,Independent,526
Bellary,S. VENUGOPAL,Independent,478
Bellary,BHUGULU DEVENDRAPPA,Independent,453
Bellary,JALIHAL RUDRAPPA,Ambedkar Janatha Party,443
Bellary City,ANIL LAD,Indian National Congress,52098
Bellary City,S. MURALI KRISHNA,Badavara Shramikara Raitara Congress Party,33898
Bellary City,MUNNA,Janata Dal  (Secular),16285
Bellary City,GUTTIGANURU VIRUPAKSHA GOUDA,Bharatiya Janata Party,5646
Bellary City,K NAGABHUSHANA RAO,Communist Party of India,2508
Bellary City,J B JAYAMMA,Independent,877
Bellary City,CHANDRASHEKAR NAIDU,Independent,794
Bellary City,D NAGALAKSHMI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),652
Bellary City,P S GURURAJ,Independent,536
Bellary City,PRUTHVIRAJ,Republican Party of India (A),490
Bellary City,M SUJAN BABU,Independent,459
Bellary City,D PARTHASARATHI,Independent,444
Bellary City,ARUNACHALAM Y,Pyramid Party of India,429
Bellary City,MEKALA ESHWARA REDDY,Independent,427
Bellary City,SARMAS BEE,Independent,412
Bellary City,M. NARAYANA SWAMY,Bahujan Samaj Party,411
Bellary City,P BANDE GOUDA,Independent,353
Bellary City,VENKATESHA,Independent,340
Bellary City,K. R RAVI KUMAR,Ambedkar Janatha Party,320
Bellary City,NAZEER HUSSAIN,Independent,302
Bellary City,HAMPI RAMANA,Independent,238
Bellary City,S NAZEER AHAMED,Independent,236
Bellary City,APPANNANAVARA NATARAJA GOUDA,Independent,235
Bellary City,N GANGIREDDY,Independent,221
Bellary City,H D GOVINDA,Independent,216
Bellary City,D LOKESHA KUMARA,Independent,176
Bellary City,KHADER BASHA,Independent,175
Bellary City,V SURYANARAYANA,Independent,156
Bellary City,HANDI RAFIQ SAB,Independent,137
Belthangady,K. VASANTHA BANGERA,Indian National Congress,74530
Belthangady,RANJAN G. GOWDA,Bharatiya Janata Party,58789
Belthangady,B.M. BHAT,Communist Party of India  (Marxist),4532
Belthangady,RAJASHREE S. HEGDE,Janata Dal  (Secular),2682
Belthangady,SUKHESHA  KUMAR,Karnataka Jantha Paksha,2673
Belthangady,CHENNAKESHAVA,Bahujan Samaj Party,1747
Belthangady,VENKATESHA BENDE,Janata Dal  (United),1276
Belur,Y.N RUDRESHA GOWDA,Indian National Congress,48802
Belur,K.S.LINGESHA,Janata Dal  (Secular),41273
Belur,H.M.VISWANATH,Karnataka Jantha Paksha,22203
Belur,ESHWARAHALLY LAKSHMANA,Bharatiya Janata Party,10281
Belur,GANGADHAR BAHUJAN,Bahujan Samaj Party,5326
Belur,RAMANNA,Independent,1499
Belur,CHANNEGOWDA,Janata Dal  (United),1023
Belur,BUJENDRA. B.R.,Badavara Shramikara Raitara Congress Party,830
Belur,K.G.KUMARASWAMY KANAYAKANAHALLY,Independent,641
Belur,DHANANJAYAMURTHY. K.B,Samajwadi Party,538
Belur,B.C.CHANDRASHEKARA ARADYA,Independent,524
Bhadravati,APPAJI. M.J,Janata Dal  (Secular),78370
Bhadravati,B.K.SANGAMESHWARA,Independent,34271
Bhadravati,C.M. IBRAHIM,Indian National Congress,22329
Bhadravati,HANUMANTHARAO,Independent,2254
Bhadravati,S.B. SHIVAJI RAO SINDHYA,Bharatiya Janata Party,1779
Bhadravati,HANUMANTHAPPA,Independent,1282
Bhadravati,AHAMED ALI,Independent,1084
Bhadravati,VASUNDARA DEVI. P,Independent,440
Bhadravati,COMREDE P. MURTHY,Communist Party of India (Marxist-Leninist) Red Star,381
Bhadravati,TEEPU SULTHAN,Independent,255
Bhadravati,SURESH,Bahujan Samaj Party,223
Bhadravati,OMVIJAYA VAMSHI,Independent,189
Bhadravati,S. VENKATESHMURTHY,Lok Satta Party,158
Bhadravati,KALPANA A NADIG SHARMA,Janata Dal  (United),140
Bhadravati,B.G.C.KUMAR,Independent,135
Bhadravati,AKHIL AHMED,Independent,133
Bhadravati,BALAKRISHNA. M,Badavara Shramikara Raitara Congress Party,133
Bhalki,ESHWARA S/O BHIMANNA KHANDRE,Indian National Congress,58012
Bhalki,SIDRAM S/O DHULAPPA,Karnataka Jantha Paksha,48343
Bhalki,PRAKASH KHANDRE S/O CHANNABASAPPA,Bharatiya Janata Party,29694
Bhalki,DAYANAND S/O KADLING,Independent,2414
Bhalki,JANARDHAN S/O MADHAVRAO,Janata Dal  (Secular),2255
Bhalki,BHALKESHWAR S/O SANGAPPA,Independent,1561
Bhalki,ISMALASHA S/O PHATHRUSHA,Bahujan Samaj Party,1102
Bhalki,JAGANNATH S/O RAMCHANDAR JAMADAR,Badavara Shramikara Raitara Congress Party,1024
Bhalki,ASHOK S/O SIDRAMAPPA,Independent,1012
Bhalki,PRAKASH S/O NAMDEV,Independent,717
Bhalki,BABUPASHA S/O MINODDIN,Independent,489
Bhalki,NEELKANTH S/O VEERAPPA,Independent,468
Bhatkal,MANKALA SUBBA VAIDYA,Independent,37319
Bhatkal,ENAYATHULLAH SHABANDRI,Janata Dal  (Secular),27435
Bhatkal,SHIVANAND N. NAIK,Karnataka Jantha Paksha,26657
Bhatkal,J.D. NAIK,Indian National Congress,21766
Bhatkal,GOVINDA JATTAPPA NAIK,Bharatiya Janata Party,14791
Bhatkal,BHUSHAN NAIK,Independent,2571
Bhatkal,MULLA NADEEM AHMED,Independent,1285
Bhatkal,KUMAR NAGAPPA HEBLE,Independent,1047
Bhatkal,HOSAD SANTOSH HANUMANT PRABHU,Bahujan Samaj Party,902
Bhatkal,M.M.NAIK,Badavara Shramikara Raitara Congress Party,744
Bidar,GURUPADAPPA NAGAMARPALLI,Karnataka Jantha Paksha,50718
Bidar,RAHEEM KHAN,Indian National Congress,48147
Bidar,RAMESH KUMAR PANDE,Bharatiya Janata Party,5888
Bidar,DR. AMAR AVINASH YEROLKAR,Janata Dal  (Secular),2420
Bidar,PANDARI,Pyramid Party of India,1485
Bidar,ANILKUMAR GUNDAPPA,Badavara Shramikara Raitara Congress Party,693
Bidar,KHAYAMUDDIN,National Development Party,549
Bidar,ABDUL FAYAZ KHAN,Nationalist Congress Party,429
Bidar,ABDUL JAMEEL KHAN,Independent,362
Bidar,CHANDRASHEKER MADEPPA PASARGI,Independent,362
Bidar,PRABHU,Independent,288
Bidar,SAYED HAJI PASHA,Independent,288
Bidar,S. S. ISLAM,Independent,274
Bidar,ISHWAR HADHENAVAR,Independent,258
Bidar,KONDIBA RAO GOPAL RAO PANDRE,Independent,249
Bidar,SHAIKH HAJI,Independent,228
Bidar,PENINA,Independent,179
Bidar,ESHWAR KANARI,Independent,154
Bidar South,ASHOK KHENY,Karnataka Makkala Paksha,47763
Bidar South,BANDEPPA KHASHEMPUR,Janata Dal  (Secular),31975
Bidar South,ABDUL MANNAN,Bahujan Samaj Party,16015
Bidar South,DR. SHAYALENDRA KASHINATH BELDALE,Karnataka Jantha Paksha,11560
Bidar South,MEENAKSHI SANGRAM,Indian National Congress,5105
Bidar South,AMRUTHRAO CHIMKODE,Independent,1883
Bidar South,DR. BASWARAJ PATIL,Bharatiya Janata Party,1301
Bidar South,DR. ABDUL KAREEM,Lok Satta Party,1156
Bidar South,ZAMEERUDDIN,National Development Party,1002
Bidar South,BABURAO HONNA,Communist Party of India,999
Bidar South,ABRAHAM T.J.,Independent,846
Bidar South,PRAVEENKUMAR R.,Badavara Shramikara Raitara Congress Party,829
Bidar South,ALI KHAN (DON),Akhil Bharatiya Muslim League (Secular),794
Bidar South,SHARAFODDIN,Independent,712
Bidar South,VASANTH,Independent,604
